workerid,proliferate.condition,error
53,condition1,
60,condition1,
62,condition1,
16,condition1,
75,condition1,
55,condition1,
69,condition1,
77,condition1,
80,condition1,
27,condition1,
67,condition1,
48,condition1,
24,condition1,
38,condition1,
76,condition1,
78,condition1,
84,condition1,
13,condition1,
74,condition1,
23,condition1,
66,condition1,
10,condition1,
71,condition1,
43,condition1,
79,condition1,
89,condition1,
51,condition1,
39,condition1,
81,condition1,
64,condition1,
50,condition1,
21,condition1,
119,condition1,
59,condition1,
65,condition1,
117,condition1,
52,condition1,
12,condition1,
63,condition1,
4,condition1,
83,condition1,
49,condition1,
120,condition1,
68,condition1,
70,condition1,
61,condition1,
73,condition1,
54,condition1,
14,condition1,
58,condition1,
