workerid,proliferate.condition,age,comments,education,enjoyment,gender,language,error
53,condition1,,,-1,-1,,,
60,condition1,24,Thank you!,3,2,Male,English,
62,condition1,33,Well done.,3,2,Male,English,
16,condition1,73,,4,2,Male,English,
75,condition1,45,,3,1,Female,English,
55,condition1,22,,2,1,Male,English,
69,condition1,20,,2,1,Male,English,
77,condition1,26,,2,1,Male,English,
80,condition1,28,,1,1,Male,English,
27,condition1,36,none,3,1,Male,English,
67,condition1,25,,1,1,Male,English,
48,condition1,24,,3,1,Female,English,
24,condition1,27,,3,1,Male,english,
38,condition1,31,,3,1,Male,English,
76,condition1,43,,4,1,Female,english,
78,condition1,38,none,3,2,Male,English,
84,condition1,36,,3,2,Male,English,
13,condition1,46,"This was pretty cool, it really made me consider how to order adjectives",4,2,Female,English,
74,condition1,22,,3,2,Male,English,
23,condition1,22,,3,-1,Female,English,
66,condition1,27,,4,1,Male,English,
10,condition1,30,,2,1,Female,English,
71,condition1,64,"that was actually pretty interesting, some combinations are tricky though - not sure that a red striped frog is the same as a striped red frog - those sound like two different frogs to me! (One with red stripes, while the other is red with stripes)",4,2,Female,English,
43,condition1,65,,2,2,Female,English,
79,condition1,30,,3,2,Female,English,
89,condition1,36,N/a,4,1,Male,English,
51,condition1,25,,3,1,Female,English,
39,condition1,24,,1,1,Female,English,
81,condition1,20,,1,1,Male,English,
64,condition1,27,,3,0,Female,English,
50,condition1,30,,4,1,Female,English,
21,condition1,19,,2,2,Male,English,
119,condition1,55,,2,2,,english,
59,condition1,47,,3,2,Female,English,
65,condition1,30,,2,2,Male,English,
117,condition1,23,,2,1,Male,English,
52,condition1,30,,3,1,Female,English,
12,condition1,19,,1,1,Male,English,
63,condition1,28,,3,1,Female,english,
4,condition1,24,,1,2,Male,English,
83,condition1,22,,2,1,Male,English,
49,condition1,28,,3,1,Female,English,
120,condition1,24,,3,1,Male,English,
68,condition1,32,,4,2,Female,English,
70,condition1,33,,1,2,Male,English,
61,condition1,26,,2,1,Female,english,
73,condition1,22,,1,1,Male,English,
54,condition1,21,I feel like more permanent adjectives go closer to the noun (ex: sad fat woman),2,1,Female,English,
14,condition1,29,Bonuses are always appreciated! ,3,1,,English,
58,condition1,65,,3,2,Female,English,
