workerid,proliferate.condition,Browser,OS,screenH,screenW,error
53,condition1,Chrome,Mac,900,1440,
60,condition1,Chrome,Linux,891,434,
62,condition1,Chrome,Windows,1080,1920,
16,condition1,Chrome,Mac,900,1440,
75,condition1,Firefox,Windows,1080,1920,
55,condition1,Chrome,Windows,1080,1920,
69,condition1,Chrome,Windows,1080,1920,
77,condition1,Firefox,Windows,900,1600,
80,condition1,Firefox,Mac,800,1280,
27,condition1,Chrome,Linux,750,1200,
67,condition1,Chrome,Windows,768,1366,
48,condition1,Chrome,Mac,900,1440,
24,condition1,Chrome,Mac,900,1440,
38,condition1,Chrome,Linux,768,1366,
76,condition1,Chrome,Mac,900,1440,
78,condition1,Chrome,Mac,900,1440,
84,condition1,Chrome,Windows,768,1366,
13,condition1,Chrome,Windows,1080,1920,
74,condition1,Chrome,Windows,800,1280,
23,condition1,Chrome,Mac,900,1440,
66,condition1,Chrome,Windows,864,1536,
10,condition1,Safari,Mac,1080,1920,
71,condition1,Chrome,Windows,1050,1680,
43,condition1,Safari,Mac,1024,768,
79,condition1,Safari,iPhone/iPod,812,375,
89,condition1,Chrome,Windows,900,1600,
51,condition1,Chrome,Windows,1003,1504,
39,condition1,Chrome,Mac,800,1280,
81,condition1,Chrome,Windows,1080,1920,
64,condition1,Chrome,Linux,1016,1807,
50,condition1,Chrome,Windows,720,1280,
21,condition1,Chrome,Windows,1080,1920,
119,condition1,Chrome,Windows,900,1600,
59,condition1,Chrome,Windows,768,1366,
65,condition1,Chrome,Windows,1050,1680,
117,condition1,Chrome,Linux,640,360,
52,condition1,Chrome,Windows,1080,1920,
12,condition1,Chrome,Linux,760,360,
63,condition1,Chrome,Mac,900,1440,
4,condition1,Firefox,Windows,900,1600,
83,condition1,Chrome,Windows,1080,1920,
49,condition1,Chrome,Linux,800,1200,
120,condition1,Chrome,Windows,864,1536,
68,condition1,Chrome,Mac,800,1280,
70,condition1,Chrome,Linux,768,1360,
61,condition1,Chrome,Mac,800,1280,
73,condition1,Chrome,Linux,720,360,
54,condition1,Chrome,Windows,768,1366,
14,condition1,Chrome,Linux,869,412,
58,condition1,Chrome,Windows,768,1366,
