workerid,prolific_participant_id
53,<no-id>
60,<no-id>
62,<no-id>
16,<no-id>
75,<no-id>
55,<no-id>
69,<no-id>
77,<no-id>
80,<no-id>
27,<no-id>
67,<no-id>
48,<no-id>
24,<no-id>
38,<no-id>
76,<no-id>
78,<no-id>
84,<no-id>
13,<no-id>
74,<no-id>
23,<no-id>
66,<no-id>
10,<no-id>
71,<no-id>
43,<no-id>
79,<no-id>
89,<no-id>
51,<no-id>
39,<no-id>
81,<no-id>
64,<no-id>
50,<no-id>
21,<no-id>
119,<no-id>
59,<no-id>
65,<no-id>
117,<no-id>
52,<no-id>
12,<no-id>
63,<no-id>
4,<no-id>
83,<no-id>
49,<no-id>
120,<no-id>
68,<no-id>
70,<no-id>
61,<no-id>
73,<no-id>
54,<no-id>
14,<no-id>
58,<no-id>
