workerid,proliferate.condition,adj1,adj2,label,left_end,left_end_tr,object,response,right_end,right_end_tr,rt,slide_number_in_experiment,trial_type,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
973,condition1,,,,,,beyaz,beyaz,,,0,1,bot_check,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,wooden,clean,spoon_wooden_clean,"""wooden clean spoon""","""tahta temiz kaşık""",spoon,[0.94],"""clean wooden spoon""","""temiz tahta kaşık""",4775,3,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,straight,brown,hair_straight_brown,"""straight brown hair""","""düz kahverengi saç""",hair,[0.11],"""brown straight hair""","""kahverengi düz saç""",26607,4,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,wooden,dirty,spoon_wooden_dirty,"""dirty wooden spoon""","""kirli tahta kaşık""",spoon,[0.1],"""wooden dirty spoon""","""tahta kirli kaşık""",26177,5,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,red,matte,nails_red_matte,"""red matte nails""","""kırmızı mat oje""",nails,[0.9],"""matte red nails""","""mat kırmızı oje""",34454,6,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,black and white,square,picture_bw_square,"""black and white square picture""","""siyah beyaz kare resim""",picture,[0.13],"""square black and white picture""","""kare siyah beyaz resim""",11289,7,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,big,round,earring_big_round,"""big round earring""","""büyük yuvarlak küpe""",earring,[0.16],"""round big earring""","""yuvarlak büyük küpe""",32080,8,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,open,wooden,box_open_wood,"""open wooden box""","""açık tahta kutu""",box,[0.13],"""wooden open box""","""tahta açık kutu""",38320,9,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,black,matte,nails_black_matte,"""black matte nails""","""siyah mat oje""",nails,[0.9],"""matte black nails""","""mat siyah oje""",33321,10,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
973,condition1,curly,brown,hair_curly_brown,"""curly brown hair""","""kıvırcık kahverengi saç""",hair,[0.15],"""brown curly hair""","""kahverengi kıvırcık saç""",29032,11,,[],27,Yes,,4,1,Female,Turkce,Chrome,Windows,864,1536,20.697166666666668,
