workerid,proliferate.condition,time_in_minutes,error
973,condition1,20.697166666666668,
968,condition1,8.398716666666667,
971,condition1,22.074983333333332,
936,condition1,3.0600833333333335,
955,condition1,3.6483833333333338,
951,condition1,9.3492,
941,condition1,12.894,
954,condition1,15.6415,
966,condition1,7.114483333333333,
962,condition1,5.9193,
910,condition1,4.293983333333333,
953,condition1,10.647733333333331,
952,condition1,6.283816666666667,
949,condition1,5.112316666666667,
945,condition1,9.8615,
969,condition1,5.151883333333333,
944,condition1,10.344716666666669,
950,condition1,4.284166666666667,
967,condition1,5.1090333333333335,
972,condition1,4.146216666666667,
946,condition1,9.962483333333331,
939,condition1,12.507733333333332,
961,condition1,10.019483333333334,
963,condition1,6.52845,
959,condition1,7.21195,
965,condition1,7.525266666666667,
935,condition1,3.83025,
956,condition1,6.5627,
933,condition1,6.544933333333334,
937,condition1,7.8141,
970,condition1,16.7669,
