workerid,proliferate.condition,error
116,condition1,
20,condition1,
47,condition1,
45,condition1,
42,condition1,
37,condition1,
17,condition1,
11,condition1,
19,condition1,
28,condition1,
26,condition1,
41,condition1,
22,condition1,
29,condition1,
35,condition1,
1,condition1,
18,condition1,
15,condition1,
25,condition1,
30,condition1,
36,condition1,
7,condition1,
34,condition1,
6,condition1,
40,condition1,
46,condition1,
8,condition1,
105,condition1,
31,condition1,
33,condition1,
