workerid,proliferate.condition,time_in_minutes,error
116,condition1,3.098433333333334,
20,condition1,2.36715,
47,condition1,2.9890166666666667,
45,condition1,4.739983333333333,
42,condition1,2.5274,
37,condition1,1.9782833333333336,
17,condition1,4.33185,
11,condition1,3.0396,
19,condition1,5.3670333333333335,
28,condition1,13.443983333333334,
26,condition1,5.965066666666667,
41,condition1,2.56355,
22,condition1,3.831483333333334,
29,condition1,3.4697666666666667,
35,condition1,2.6595833333333334,
1,condition1,6.664116666666667,
18,condition1,3.8644166666666666,
15,condition1,2.670516666666667,
25,condition1,2.21355,
30,condition1,1.3966166666666666,
36,condition1,4.064733333333334,
7,condition1,3.0686166666666668,
34,condition1,2.6182333333333334,
6,condition1,3.07295,
40,condition1,5.050583333333333,
46,condition1,3.716866666666667,
8,condition1,3.1170666666666667,
105,condition1,6.6329,
31,condition1,2.86035,
33,condition1,24.054316666666665,
