workerid,proliferate.condition,error
926,condition1,
895,condition1,
924,condition1,
899,condition1,
900,condition1,
947,condition1,
823,condition1,
893,condition1,
916,condition1,
942,condition1,
896,condition1,
948,condition1,
930,condition1,
923,condition1,
883,condition1,
919,condition1,
925,condition1,
957,condition1,
918,condition1,
901,condition1,
912,condition1,
915,condition1,
907,condition1,
902,condition1,
928,condition1,
920,condition1,
892,condition1,
886,condition1,
931,condition1,
