workerid,proliferate.condition,adj,adj_tr,label,object,response,rt,slide_number_in_experiment,trial_type,error
926,condition1,,,,beyaz,beyaz,0,1,bot_check,
926,condition1,brown,kahverengi,hair_curly_brown,hair,[0.01],4069,3,,
926,condition1,striped,çizgili,frog_striped_green,frog,[0.01],4497,4,,
926,condition1,high,yüksek,table_metal_high,table,[0.99],2310,5,,
926,condition1,sad,mutsuz,woman_old_sad,woman,[0.99],2202,6,,
926,condition1,skinny,zayıf,woman2_happy_skinny,woman,[1],2127,7,,
926,condition1,colored,renkli,picture_colored_rectangular,picture,[0.77],7960,8,,
926,condition1,small,küçük,bottle_glass_small,bottle,[0.99],3031,9,,
926,condition1,green,yeşil,frog_spotted_green,frog,[0.04],3868,10,,
926,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0],2551,11,,
926,condition1,fat,şişman,woman2_happy_fat,woman,[0.99],2206,12,,
926,condition1,blue,mavi,pencil_long_blue,pencil,[0.01],2651,13,,
926,condition1,spotted,benekli,frog_spotted_green,frog,[0.73],4721,14,,
926,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.01],2551,15,,
926,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.01],1870,16,,
926,condition1,short,kısa,pencil_short_black,pencil,[0.99],2049,17,,
926,condition1,round,yuvarlak,earring_big_round,earring,[0.25],7268,18,,
926,condition1,long,uzun,pencil_long_black,pencil,[0.99],3696,19,,
926,condition1,closed,kapalı,box_closed_cardboard,box,[0],3456,20,,
926,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.66],2791,21,,
926,condition1,glossy,parlak,nails_black_glossy,nails,[0.1],2859,22,,
926,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],1717,23,,
926,condition1,low,alçak,table_metal_low,table,[0.99],2186,24,,
926,condition1,matte,mat,nails_black_matte,nails,[0.13],1982,25,,
926,condition1,plastic,plastik,bottle_plastic_big,bottle,[0],1490,26,,
926,condition1,square,kare,picture_bw_square,picture,[0.02],1730,27,,
926,condition1,triangular,üçgen,earring_big_triangular,earring,[0],1758,28,,
926,condition1,cardboard,karton,box_closed_cardboard,box,[0.01],2226,29,,
926,condition1,glass,cam,bottle_glass_big,bottle,[0],2342,30,,
926,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.16],3633,31,,
926,condition1,big,büyük,bottle_glass_big,bottle,[0.98],2411,32,,
926,condition1,old,yaşlı,man_old_bearded,man,[0.97],1878,33,,
926,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0],3680,34,,
926,condition1,dry,kuru,shorts_dry_green,shorts,[0.08],3227,35,,
926,condition1,open,açık,box_open_cardboard,box,[0],1861,36,,
926,condition1,bearded,sakallı,man_old_bearded,man,[0],1706,37,,
926,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0],1462,38,,
926,condition1,young,genç,man_young_bearded,man,[0.98],2995,39,,
926,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.01],2903,40,,
926,condition1,happy,mutlu,woman_old_happy,woman,[0.98],3736,41,,
926,condition1,red,kırmızı,frog_spotted_red,frog,[0.02],1594,42,,
926,condition1,blond,sarı,hair_curly_blonde,hair,[0],1422,43,,
