workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
100,condition1,,,Mary,Mary,0,1,bot_check,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,low,table_metal_low,table,[0.46],11300,3,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,bearded,man_old_bearded,man,[0],8003,4,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,glass,bottle_glass_big,bottle,[0],3263,5,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,short,pencil_short_black,pencil,[1],6453,6,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,curly,hair_curly_blonde,hair,[0],5586,7,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,sad,woman_old_sad,woman,[0],7352,8,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,matte,nails_black_matte,nails,[0],3958,9,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,skinny,woman2_happy_skinny,woman,[1],2722,10,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,high,table_metal_high,table,[1],2253,11,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,colored,picture_colored_rectangular,picture,[0],3914,12,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,big,bottle_glass_big,bottle,[1],4419,13,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,young,man_young_bearded,man,[0.48],7195,14,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,glossy,nails_black_glossy,nails,[0],3000,15,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,wet,shorts_wet_green,shorts,[0],3612,16,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,square,picture_bw_square,picture,[0],3192,17,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,brown,hair_curly_brown,hair,[0.33],5373,18,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,wooden,spoon_wooden_clean,spoon,[0],3361,19,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,black,nails_black_glossy,nails,[0.22],3565,20,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,mustache-touting,man2_mustached_glassed,man,[0],4353,21,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,blue,pencil_long_blue,pencil,[0.3],8034,22,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,cardboard,box_closed_cardboard,box,[0],3829,23,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,straight,hair_straight_blond,hair,[0],2978,24,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,glasses-wearing,man2_bearded_glassed,man,[0],3833,25,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,closed,box_closed_cardboard,box,[0],6627,26,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,dirty,spoon_metal_dirty,spoon,[0.45],3043,27,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,black and white,picture_bw_rectangular,picture,[0],2997,28,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,small,bottle_glass_small,bottle,[1],3357,29,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,red,frog_spotted_red,frog,[0],2425,30,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,dry,shorts_dry_green,shorts,[0],2359,31,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,blond,hair_curly_blonde,hair,[0.23],2619,32,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,long,pencil_long_black,pencil,[0.99],2584,33,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,clean-shaven,man_old_cleanshaven,man,[0],4311,34,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,green,frog_spotted_green,frog,[0.2],2186,35,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,happy,woman_old_happy,woman,[0.5],1899,36,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,plastic,bottle_plastic_big,bottle,[0],2301,37,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,spotted,frog_spotted_green,frog,[0],2349,38,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,metal,spoon_metal_clean,spoon,[0],2390,39,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,old,man_old_bearded,man,[0.22],2015,40,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,open,box_open_cardboard,box,[0],2744,41,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,round,earring_big_round,earring,[0.22],5850,42,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,fat,woman2_happy_fat,woman,[1],7349,43,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,striped,frog_striped_green,frog,[0],4219,44,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,clean,spoon_metal_clean,spoon,[0],1903,45,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,rectangular,picture_bw_rectangular,picture,[0.45],2936,46,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,triangular,earring_big_triangular,earring,[0],3123,47,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
100,condition1,hat-wearing,man2_bearded_hatted,man,[0],4816,48,,[],31,Yes,,3,1,Male,English,Chrome,Windows,1920,1080,3.6304666666666665,
110,condition1,,,Jennifer,Jennifer,0,1,bot_check,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,small,bottle_glass_small,bottle,[0.82],23476,3,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,closed,box_closed_cardboard,box,[0.27],11120,4,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,high,table_metal_high,table,[0.37],5879,5,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,young,man_young_bearded,man,[0.36],3504,6,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,bearded,man_old_bearded,man,[0.34],5896,7,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,dirty,spoon_metal_dirty,spoon,[0.78],13784,8,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,black,nails_black_glossy,nails,[0.17],5695,9,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,brown,hair_curly_brown,hair,[0.69],6592,10,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,wet,shorts_wet_green,shorts,[0.23],3384,11,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,blue,pencil_long_blue,pencil,[0.24],3671,12,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,rectangular,picture_bw_rectangular,picture,[0.31],5049,13,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,triangular,earring_big_triangular,earring,[0.77],4632,14,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,glasses-wearing,man2_bearded_glassed,man,[0.19],3504,15,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,hat-wearing,man2_bearded_hatted,man,[0.29],5879,16,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,glass,bottle_glass_big,bottle,[0.26],4512,17,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,curly,hair_curly_blonde,hair,[0.24],4904,18,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,green,frog_spotted_green,frog,[0.21],6000,19,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,dry,shorts_dry_green,shorts,[0.21],3880,20,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,straight,hair_straight_blond,hair,[0.75],5960,21,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,round,earring_big_round,earring,[0.25],5104,22,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,black and white,picture_bw_rectangular,picture,[0.16],4424,23,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,metal,spoon_metal_clean,spoon,[0.26],6032,24,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,colored,picture_colored_rectangular,picture,[0.25],4512,25,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,matte,nails_black_matte,nails,[0.31],6832,26,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,short,pencil_short_black,pencil,[0.78],4295,27,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,old,man_old_bearded,man,[0.67],3871,28,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,fat,woman2_happy_fat,woman,[0.66],4008,29,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,sad,woman_old_sad,woman,[0.21],4920,30,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,happy,woman_old_happy,woman,[0.27],5359,31,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,plastic,bottle_plastic_big,bottle,[0.25],3873,32,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,wooden,spoon_wooden_clean,spoon,[0.28],4320,33,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,mustache-touting,man2_mustached_glassed,man,[0.22],5336,34,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,square,picture_bw_square,picture,[0.14],4328,35,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,clean,spoon_metal_clean,spoon,[0.22],8152,36,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,open,box_open_cardboard,box,[0.29],5560,37,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,red,frog_spotted_red,frog,[0.25],4072,38,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,striped,frog_striped_green,frog,[0.3],4912,39,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,glossy,nails_black_glossy,nails,[0.73],5440,40,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,skinny,woman2_happy_skinny,woman,[0.6],3712,41,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,low,table_metal_low,table,[0.74],4360,42,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,spotted,frog_spotted_green,frog,[0.68],4880,43,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,clean-shaven,man_old_cleanshaven,man,[0.16],4128,44,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,big,bottle_glass_big,bottle,[0.78],4560,45,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,long,pencil_long_black,pencil,[0.68],4496,46,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,blond,hair_curly_blonde,hair,[0.63],8111,47,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
110,condition1,cardboard,box_closed_cardboard,box,[0.26],3598,48,,[],32,Yes,it was analytical and interesting experience.,4,2,Male,English,Firefox,Windows,720,1280,5.675716666666666,
109,condition1,,,Elizabeth,Elizabeth,0,1,bot_check,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,striped,frog_striped_green,frog,[0.31],16367,3,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,wet,shorts_wet_green,shorts,[0.1],3440,4,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,dry,shorts_dry_green,shorts,[0.16],3328,5,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,short,pencil_short_black,pencil,[0.77],5376,6,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,low,table_metal_low,table,[0.78],2864,7,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,plastic,bottle_plastic_big,bottle,[0.1],3216,8,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,bearded,man_old_bearded,man,[0.06],2528,9,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,dirty,spoon_metal_dirty,spoon,[0.05],2944,10,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,open,box_open_cardboard,box,[0.07],2080,11,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,spotted,frog_spotted_green,frog,[0.07],2632,12,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,red,frog_spotted_red,frog,[0.13],2648,13,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,fat,woman2_happy_fat,woman,[0.86],3096,14,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,glass,bottle_glass_big,bottle,[0.07],2472,15,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,big,bottle_glass_big,bottle,[0.85],3328,16,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,round,earring_big_round,earring,[0.07],2864,17,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,colored,picture_colored_rectangular,picture,[0.09],2768,18,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,black and white,picture_bw_rectangular,picture,[0.06],2928,19,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,long,pencil_long_black,pencil,[0.9],2680,20,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,wooden,spoon_wooden_clean,spoon,[0.08],2792,21,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,closed,box_closed_cardboard,box,[0.06],2168,22,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,green,frog_spotted_green,frog,[0.11],2112,23,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,young,man_young_bearded,man,[0.15],3168,24,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,triangular,earring_big_triangular,earring,[0.12],2344,25,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,small,bottle_glass_small,bottle,[0.9],2544,26,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,high,table_metal_high,table,[0.86],3720,27,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,glossy,nails_black_glossy,nails,[0.06],2344,28,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,square,picture_bw_square,picture,[0.11],3344,29,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,black,nails_black_glossy,nails,[0.08],2344,30,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,skinny,woman2_happy_skinny,woman,[0.89],2608,31,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,mustache-touting,man2_mustached_glassed,man,[0.07],4240,32,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,rectangular,picture_bw_rectangular,picture,[0.08],2096,33,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,brown,hair_curly_brown,hair,[0.04],1896,34,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,curly,hair_curly_blonde,hair,[0.09],1688,35,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,clean,spoon_metal_clean,spoon,[0.07],1864,36,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,straight,hair_straight_blond,hair,[0.08],1576,37,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
109,condition1,matte,nails_black_matte,nails,[0.08],1656,38,,[],25,Yes,,4,2,Female,English,Chrome,Windows,1080,1920,2.648416666666667,
