workerid,proliferate.condition,time_in_minutes,error
100,condition1,3.6304666666666665,
110,condition1,5.675716666666666,
109,condition1,2.648416666666667,
104,condition1,4.93065,
113,condition1,3.1163666666666665,
88,condition1,2.521733333333333,
106,condition1,6.256666666666667,
56,condition1,4.3739,
97,condition1,1.3157,
86,condition1,2.612416666666667,
111,condition1,2.62085,
91,condition1,9.8474,
112,condition1,4.899633333333333,
92,condition1,5.43495,
94,condition1,4.4864,
85,condition1,3.6671,
114,condition1,5.40755,
93,condition1,3.02165,
87,condition1,3.7565666666666666,
98,condition1,1.4588666666666668,
101,condition1,5.829,
96,condition1,3.864116666666667,
103,condition1,3.925116666666667,
118,condition1,3.5970833333333334,
90,condition1,5.064283333333333,
95,condition1,4.286833333333333,
102,condition1,5.4527833333333335,
107,condition1,5.09725,
108,condition1,13.024616666666669,
99,condition1,9.43545,
