workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,error
100,condition1,,,Mary,Mary,0,1,bot_check,
100,condition1,low,table_metal_low,table,[0.46],11300,3,,
100,condition1,bearded,man_old_bearded,man,[0],8003,4,,
100,condition1,glass,bottle_glass_big,bottle,[0],3263,5,,
100,condition1,short,pencil_short_black,pencil,[1],6453,6,,
100,condition1,curly,hair_curly_blonde,hair,[0],5586,7,,
100,condition1,sad,woman_old_sad,woman,[0],7352,8,,
100,condition1,matte,nails_black_matte,nails,[0],3958,9,,
100,condition1,skinny,woman2_happy_skinny,woman,[1],2722,10,,
100,condition1,high,table_metal_high,table,[1],2253,11,,
100,condition1,colored,picture_colored_rectangular,picture,[0],3914,12,,
100,condition1,big,bottle_glass_big,bottle,[1],4419,13,,
100,condition1,young,man_young_bearded,man,[0.48],7195,14,,
100,condition1,glossy,nails_black_glossy,nails,[0],3000,15,,
100,condition1,wet,shorts_wet_green,shorts,[0],3612,16,,
100,condition1,square,picture_bw_square,picture,[0],3192,17,,
100,condition1,brown,hair_curly_brown,hair,[0.33],5373,18,,
100,condition1,wooden,spoon_wooden_clean,spoon,[0],3361,19,,
100,condition1,black,nails_black_glossy,nails,[0.22],3565,20,,
100,condition1,mustache-touting,man2_mustached_glassed,man,[0],4353,21,,
100,condition1,blue,pencil_long_blue,pencil,[0.3],8034,22,,
100,condition1,cardboard,box_closed_cardboard,box,[0],3829,23,,
100,condition1,straight,hair_straight_blond,hair,[0],2978,24,,
100,condition1,glasses-wearing,man2_bearded_glassed,man,[0],3833,25,,
100,condition1,closed,box_closed_cardboard,box,[0],6627,26,,
100,condition1,dirty,spoon_metal_dirty,spoon,[0.45],3043,27,,
100,condition1,black and white,picture_bw_rectangular,picture,[0],2997,28,,
100,condition1,small,bottle_glass_small,bottle,[1],3357,29,,
100,condition1,red,frog_spotted_red,frog,[0],2425,30,,
100,condition1,dry,shorts_dry_green,shorts,[0],2359,31,,
100,condition1,blond,hair_curly_blonde,hair,[0.23],2619,32,,
100,condition1,long,pencil_long_black,pencil,[0.99],2584,33,,
100,condition1,clean-shaven,man_old_cleanshaven,man,[0],4311,34,,
100,condition1,green,frog_spotted_green,frog,[0.2],2186,35,,
100,condition1,happy,woman_old_happy,woman,[0.5],1899,36,,
100,condition1,plastic,bottle_plastic_big,bottle,[0],2301,37,,
100,condition1,spotted,frog_spotted_green,frog,[0],2349,38,,
100,condition1,metal,spoon_metal_clean,spoon,[0],2390,39,,
100,condition1,old,man_old_bearded,man,[0.22],2015,40,,
100,condition1,open,box_open_cardboard,box,[0],2744,41,,
100,condition1,round,earring_big_round,earring,[0.22],5850,42,,
100,condition1,fat,woman2_happy_fat,woman,[1],7349,43,,
100,condition1,striped,frog_striped_green,frog,[0],4219,44,,
100,condition1,clean,spoon_metal_clean,spoon,[0],1903,45,,
100,condition1,rectangular,picture_bw_rectangular,picture,[0.45],2936,46,,
100,condition1,triangular,earring_big_triangular,earring,[0],3123,47,,
100,condition1,hat-wearing,man2_bearded_hatted,man,[0],4816,48,,
110,condition1,,,Jennifer,Jennifer,0,1,bot_check,
110,condition1,small,bottle_glass_small,bottle,[0.82],23476,3,,
110,condition1,closed,box_closed_cardboard,box,[0.27],11120,4,,
110,condition1,high,table_metal_high,table,[0.37],5879,5,,
110,condition1,young,man_young_bearded,man,[0.36],3504,6,,
110,condition1,bearded,man_old_bearded,man,[0.34],5896,7,,
110,condition1,dirty,spoon_metal_dirty,spoon,[0.78],13784,8,,
110,condition1,black,nails_black_glossy,nails,[0.17],5695,9,,
110,condition1,brown,hair_curly_brown,hair,[0.69],6592,10,,
110,condition1,wet,shorts_wet_green,shorts,[0.23],3384,11,,
110,condition1,blue,pencil_long_blue,pencil,[0.24],3671,12,,
110,condition1,rectangular,picture_bw_rectangular,picture,[0.31],5049,13,,
110,condition1,triangular,earring_big_triangular,earring,[0.77],4632,14,,
