workerid,proliferate.condition,error
903,condition1,
943,condition1,
888,condition1,
894,condition1,
908,condition1,
940,condition1,
929,condition1,
934,condition1,
904,condition1,
891,condition1,
914,condition1,
938,condition1,
889,condition1,
917,condition1,
905,condition1,
922,condition1,
911,condition1,
958,condition1,
921,condition1,
909,condition1,
890,condition1,
913,condition1,
897,condition1,
887,condition1,
898,condition1,
927,condition1,
964,condition1,
906,condition1,
824,condition1,
