workerid,proliferate.condition,age,asses,comments,education,enjoyment,gender,language,error
903,condition1,24,Yes,,4,1,Female,Türkçe,
943,condition1,30,Yes,,4,1,Male,Turkce,
888,condition1,33,Confused,,4,0,Female,Turkce,
894,condition1,46,Yes,İlginç ve düşündürücü ,1,1,Female,Türkce,
908,condition1,24,Yes,,3,1,Male,Türkçe,
940,condition1,27,Yes,Çözmesi hoşuma giden bir deney oldu.,4,1,Male,Türkçe,
929,condition1,33,Yes,,3,1,Male,Türkçe ve ibgilizce,
934,condition1,37,Yes,,3,2,Male,Turkce,
904,condition1,38,Yes,Deneydeki sorular daha netti.,4,2,Male,TÜRKÇE,
891,condition1,36,Yes,,3,1,Female,turkce,
914,condition1,30,Yes,,4,1,Male,Turkce,
938,condition1,34,Yes,factual and perceptional kavraamlar kafami karistirdi renk korlugunu hesaba kattim bu yuzden,4,1,Female,Turkce,
889,condition1,26,Yes,,4,1,Male,Turkce,
917,condition1,33,Yes,,4,2,Female,Turkce,
905,condition1,20,Yes,,2,2,,Turkce,
922,condition1,18,Yes,,1,1,Male,Turkce,
911,condition1,20,Yes,Deney bir az yorucu olsada dusundurucu bir yanida vardi,1,1,Female,Azerice,
958,condition1,33,Yes,aristo mantigina gore ahmet ve aysenin referans noktalarinin farkli olmasi deneydeki sorularin cogunda ikisinide hakli kilar. ,4,1,Male,turkce,
921,condition1,27,Yes,,3,1,Female,Turkce,
909,condition1,32,Yes,,3,1,Male,türkçe,
890,condition1,31,Yes,,4,2,Male,Türkçe,
913,condition1,,Yes,,-1,-1,Male,,
897,condition1,27,Yes,,-1,1,Female,türkçe,
887,condition1,32,Yes,,3,1,Female,Turkce,
898,condition1,34,No,,3,1,Male,Turkce,
927,condition1,37,Yes,Teşekkürler,4,1,Male,Türkçe,
964,condition1,46,Yes,,3,1,Female,Turkce ,
906,condition1,24,No,secenekler 1 ile 10 arasinda olursa daha net cevap verilebilir,3,1,Male,turkce,
824,condition1,33,Yes,"Başlangıçta verdiğim yanıtlardan eminken daha sonraki ikilemleri gördükçe daha önceden emin olduğun durumların aslında göreceli, kişiye göre de değişebileceğini düşünmeye başladım. İlginç bir deneyim oldu. Teşekkürler.",3,1,Male,Türkçe,
